#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
13.749559,2500,1972.261852
17.999668,2500,1986.961373
-4.250357,2500,1986.961456
28.499912,2500,1986.96147
18.249556,2500,1986.96148
-10.000445,2500,1986.961489
32.750557,2500,2001.375545
55.253036,2500,2001.375633
24.749533,2500,2001.37565
4.499773,2500,2001.375661
1.7495832,2500,2001.375671
32.24951,2500,2024.711446
15.249554,2500,2024.711542
15.999449,2500,2024.711565
32.74964,2500,2024.711582
18.749636,2500,2024.711599
29.749912,2500,2041.628152
16.999428,2500,2041.628252
15.249586,2500,2041.628273
-2.5002127,2500,2041.628289
33.999657,2500,2041.628304
13.249487,2500,2056.464728
-0.00017792732,2500,2056.46483
27.249563,2500,2056.464855
27.999725,2500,2056.464872
31.499704,2500,2056.464887
32.749603,2500,2071.635458
-17.000446,2500,2071.635566
27.99956,2500,2071.635588
26.499744,2500,2071.635605
17.74956,2500,2071.63562
0.9997041,2500,2094.551023
12.249443,2500,2094.551158
46.25015,2500,2094.551192
25.24951,2500,2094.551217
55.750965,2500,2094.551241
13.999567,2500,2109.364418
62.002422,2500,2109.364501
-2.2501655,2500,2109.364517
24.999674,2500,2109.364529
-0.75029355,2500,2109.364539
42.25038,2500,2123.74024
29.501156,2500,2123.740325
19.249584,2500,2123.740342
12.749611,2500,2123.740353
27.249493,2500,2123.740363
14.7495,2500,2138.531902
-3.5001202,2500,2138.531996
0.4996786,2500,2138.53203
12.499821,2500,2138.532048
40.250366,2500,2138.532063
11.499577,2500,2153.000731
43.750698,2500,2153.00084
11.499586,2500,2153.000862
-2.750332,2500,2153.000877
-1.0003743,2500,2153.000891
16.999632,2500,2176.230646
27.99965,2500,2176.230728
18.249565,2500,2176.230744
47.252537,2500,2176.230755
-3.0001578,2500,2176.230765
39.49989,2500,2190.942908
30.001446,2500,2190.943004
1.2497964,2500,2190.94303
16.499617,2500,2190.943049
34.25006,2500,2190.943066
-28.500511,2500,2205.897929
26.499586,2500,2205.898023
29.00014,2500,2205.898046
-12.750279,2500,2205.898062
8.249498,2500,2205.898077
29.999554,2500,2220.772772
-1.0001119,2500,2220.772869
28.999506,2500,2220.772894
61.750874,2500,2220.772912
31.749893,2500,2220.772928
12.499556,2500,2243.835342
32.25011,2500,2243.835442
19.499454,2500,2243.835464
3.749786,2500,2243.835481
25.999651,2500,2243.835497
28.75194,2500,2259.123097
31.499763,2500,2259.123206
26.499535,2500,2259.123232
-11.750492,2500,2259.123248
11.999821,2500,2259.123262
-1.5002106,2500,2275.633939
33.499672,2500,2275.634041
26.49962,2500,2275.634076
17.499674,2500,2275.634093
12.999531,2500,2275.634107
12.2494755,2500,2290.461729
12.249582,2500,2290.461815
2.9996374,2500,2290.461844
28.25004,2500,2290.461855
31.250463,2500,2290.461865
2.499555,2500,2305.312045
-1.2504783,2500,2305.312152
2.4996297,2500,2305.312171
42.252098,2500,2305.312183
-15.500441,2500,2305.312193
-17.500494,2500,2329.798489
17.999624,2500,2329.798572
14.249502,2500,2329.798588
17.499533,2500,2329.798599
11.24968,2500,2329.798609
31.499662,2500,2346.154761
40.75261,2500,2346.154857
3.249848,2500,2346.154882
14.49963,2500,2346.154893
40.999626,2500,2346.154904
0.74972415,2500,2360.938914
32.75044,2500,2360.939006
-13.500299,2500,2360.939023
17.999456,2500,2360.939034
32.0001,2500,2360.939045
31.749672,2500,2375.94504
-1.5002651,2500,2375.945153
0.49982095,2500,2375.945174
17.249722,2500,2375.945186
11.999628,2500,2375.945197
18.499434,2500,2399.710496
1.2495615,2500,2399.710632
-2.5002544,2500,2399.710653
-9.500326,2500,2399.71067
-4.7502437,2500,2399.710685
27.749672,2500,2414.787794
16.49951,2500,2414.787893
-4.2502236,2500,2414.787917
30.000063,2500,2414.787934
12.499748,2500,2414.787948
5.4996405,2500,2430.1956
-3.75028,2500,2430.195693
28.4996,2500,2430.195719
24.499458,2500,2430.195735
42.249832,2500,2430.195751
-2.750119,2500,2445.96873
32.499535,2500,2445.968821
-11.750239,2500,2445.968869
24.749863,2500,2445.968888
25.249718,2500,2445.968903
19.999527,2500,2461.401046
2.4996936,2500,2461.401157
11.749491,2500,2461.401176
1.749901,2500,2461.401188
15.499617,2500,2461.401198
-1.0003518,2500,2484.621389
42.000813,2500,2484.621477
-1.7502187,2500,2484.621495
48.000893,2500,2484.621506
4.749755,2500,2484.621516
45.000847,2500,2501.093382
15.99946,2500,2501.093483
12.749709,2500,2501.09351
26.249516,2500,2501.093531
19.499506,2500,2501.09355
12.749628,2500,2516.17086
25.749706,2500,2516.170976
17.499601,2500,2516.171001
1.4995925,2500,2516.171017
18.999746,2500,2516.171033
11.24963,2500,2530.943862
13.249495,2500,2530.943985
0.7495818,2500,2530.944005
11.249538,2500,2530.944016
17.999527,2500,2530.944026
